site,lat,long,deer_scale,deer_binary,trees,elev,slope,patchsize,trackdens,patch_sqrt,track_sqrt,block,deer1000
Bogong A,-36.733492,147.309277,0,0,480,1915,3,240,1.428793915,15.49193338,1.195321678,bogong,2
Bogong B,-36.734077,147.309492,0,0,415,1897,3,600,1.410670113,24.49489743,1.187716344,bogong,2
Bogong C,-36.734546,147.309617,0,0,370,1880,3,150,1.394046987,12.24744871,1.18069767,bogong,3
Bogong D,-36.733624,147.310408,0,0,450,1888,3,32,1.416254814,5.656854249,1.190065046,bogong,3
Bogong E,-36.736859,147.300341,0,0,295,1856,3,150,0.828633028,12.24744871,0.910292825,bogong,0
Bogong F,-36.737771,147.303268,3,1,180,1874,2,60,0.803145124,7.745966692,0.896183644,bogong,1
Bogong G,-36.734472,147.310132,0,0,360,1864,1,100,1.389479765,10,1.178761963,bogong,3
Bogong H,-36.734092,147.310601,0,0,390,1866,2,100,1.397163149,10,1.18201656,bogong,3
CH1,-36.9052963,147.2902575,0,0,195,1695,1,100,1.950595105,10,1.39663707,cope,8
WRC1,-36.8289568,147.3330301,0,0,735,1844,1,490,1.143392234,22.13594362,1.069295204,wrc,25
NS1,-36.9122251,147.2916309,0,0,145,1681,2,25,2.07437979,5,1.440270735,cope,9
SS1,-36.9110349,147.2917836,0,0,155,1682,2,10,2.183362816,3.16227766,1.47762066,cope,10
NSL,-36.91165,147.2945475,2,1,105,1653,2,340,2.319874889,18.43908891,1.523113551,cope,9
SH1,-36.8972439,147.3020682,2,1,15,1716,2,370,2.568662027,19.23538406,1.602704598,cope,15
RC2,-36.8746073,147.2687101,0,0,240,1702,2,280,9.729792456,16.73320053,3.119261524,castle,0
RC4,-36.875048,147.265166,0,0,385,1738,3,550,7.734753312,23.4520788,2.781142447,castle,0
NN1,-36.8781957,147.2562,0,0,180,1726,1,175,3.687931717,13.22875656,1.920398843,castle,1
PSU1,-36.8415073,147.3480126,1,1,252,1809,1,800,0.262042093,28.28427125,0.511900472,nelse,13
PSL1,-36.842744,147.3474238,2,1,102,1790,1,167,0.342193566,12.92284798,0.584973133,nelse,14
PSL2,-36.8430975,147.3467749,2,1,106,1786,1,114,0.67078701,10.67707825,0.819015879,nelse,15
NE1,-36.8412475,147.3443776,0,0,440,1848,1,108,0.630603029,10.39230485,0.794105175,nelse,16
NE2,-36.8419165,147.3437076,1,1,460,1844,1,55,0.750803107,7.416198487,0.866488954,nelse,16
RH1,-36.8293254,147.3397489,2,1,145,1799,2,20,0.851482006,4.472135955,0.922757826,wrc,24
RH3,-36.8275886,147.3418381,1,1,170,1756,3,140,0.70190217,11.83215957,0.837796019,wrc,20
RH4,-36.8274435,147.3421515,1,1,160,1755,3,270,0.674387975,16.43167673,0.821211285,wrc,20
RH2,-36.8283975,147.3395429,1,1,155,1795,3,285,0.846112885,16.88194302,0.919843946,wrc,22
JH1,-36.8477158,147.3519554,2,1,15,1658,3,40,0.355981148,6.32455532,0.596641557,nelse,15
NDL2,-36.8473183,147.3491831,1,1,10,1682,1,30,0.676181411,5.477225575,0.822302506,nelse,14
JDL2,-36.8501724,147.3442269,0,0,170,1740,1,150,1.190307573,12.24744871,1.091012178,nelse,12
MP1,-36.869203,147.3531759,1,1,520,1702,2,978,1.204457258,31.27299154,1.09747768,heathy,16
EH1,-36.8459351,147.3316905,1,1,211,1784,2,663,0.796139075,25.74878638,0.892266258,nelse,2
EH2,-36.8454912,147.3324513,1,1,245,1760,2,237,0.850699466,15.39480432,0.922333706,nelse,3
EH3,-36.8457502,147.3300858,2,1,319,1764,2,435,0.67298867,20.85665361,0.820358867,nelse,2
SK1,-36.8314514,147.2854478,3,1,40,1725,3,1250,0.673727429,35.35533906,0.820809009,spion,6
HS1,-36.8678023,147.3056211,2,1,35,1669,2,188,1.909135619,13.7113092,1.381714739,heathy,0
MS2,-36.9680115,147.1478205,1,1,10,1697,3,82,6.875114882,9.055385138,2.622044027,hotham,0
ORL,-36.9643757,147.1502063,1,1,10,1705,2,261,5.403542452,16.15549442,2.324552097,hotham,0
ORU,-36.9637235,147.1526539,1,1,10,1766,2,396,5.008999799,19.89974874,2.238079489,hotham,0
HS2,-36.8680293,147.3049712,0,0,45,1665,1,370,1.909907218,19.23538406,1.381993928,heathy,0
HS3,-36.8681288,147.304837,1,1,50,1664,1,253,1.909798368,15.90597372,1.381954546,heathy,0
HT2,-36.9756368,147.1411952,0,0,35,1730,3,100,8.452263794,10,2.907277729,hotham,0
JDL1,-36.8499078,147.3421843,0,0,290,1760,1,58,1.298801777,7.615773106,1.139649848,nelse,10
JH1B,-36.8479549,147.3503525,0,0,10,1663,3,100,0.581786871,10,0.762749547,nelse,16
LFT1,-36.9114652,147.2963654,0,0,15,1632,3,55,2.342543867,7.416198487,1.530537117,cope,10
MP2,-36.869803,147.354592,0,0,525,1700,2,35,1.207439499,5.916079783,1.09883552,heathy,16
MS1,-36.9669404,147.1464928,3,1,120,1774,3,220,6.359138485,14.83239697,2.52173323,hotham,0
NDL1,-36.847614,147.349678,1,1,15,1673,1,5,0.640751016,2.236067977,0.800469247,nelse,15
NN2,-36.8779082,147.2557614,0,0,170,1740,1,40,3.633850058,6.32455532,1.906265999,castle,1
NN3,-36.8774561,147.2563883,0,0,245,1746,2,36,3.919617443,6,1.979802375,castle,1
RC1,-36.8748604,147.2684081,0,0,250,1695,2,160,9.451693181,12.64911064,3.074360613,castle,0
RC3,-36.8746248,147.2689683,0,0,220,1702,3,120,9.95439287,10.95445115,3.155058299,castle,0
SK3C,-36.8295,147.287403,2,1,130,1750,3,24,0.867398856,4.898979486,0.931342502,spion,6
SK4,-36.829201,147.287839,0,0,152,1754,3,1000,0.890340852,31.6227766,0.943578747,spion,6
SK5,-36.829209,147.288097,0,0,150,1750,2,48,0.894791198,6.92820323,0.945934035,spion,6
SK6,-36.831095,147.315736,0,0,300,1798,1,300,0.773028752,17.32050808,0.879220537,wrc,4
SK7,-36.830895,147.316632,0,0,330,1808,1,80,0.759139587,8.94427191,0.871286168,wrc,4
WBCH1,-36.8614834,147.3291325,0,0,375,1739,1,430,1.460776117,20.73644135,1.208625714,heathy,0